단어,빈도
일반한식,782422
인터넷P/G,506124
편 의 점,446633
서양음식,444433
슈퍼마켓,414164
약 국,241977
의 원,145329
대형할인점,143174
스넥,133261
제과점,124189
택시,119063
정육점,118823
기타 전문점,110074
농·축·수산품,106894
기타음료식품,83096
중국식,80890
인터넷종합Mall,75018
자사카드발행백화점,71395
인터넷Mall,68781
주유소,52344
SK주유소,50803
기타레져업소,44082
미용원,44043
기타잡화,41655
GS주유소,41088
이동통신요금,40784
쌍용S-OIL,39460
일식·회집,37435
종합병원,35205
정장,29064
"농,축협직영매장",28752
현대정유(오일뱅크),28248
철도,27230
손해보험,26392
스포츠·레져용품,23466
연 쇄 점,22803
영화관,22166
사우나,20447
PG상품권,20090
병 원(응급실운영),19973
문구용품,19734
치과의원,18660
주점,17258
일반서적,16346
자동차정비,15844
생명보험,14120
화장품,13799
한 의 원,13101
CATV홈쇼핑,11858
공공요금대행서비스/소득공제비대상,11379
노 래 방,11303
세탁소,11293
안경,11130
기타숙박업,10929
애완동물,10554
스크린골프,10349
사무서비스,9928
기계공구,9784
공공요금대행서비스/소득공제대상,9741
주차장,9418
골프경기장,8556
액세서리,8073
내의판매,7658
위탁급식업,7415
고속버스,7398
DP&E,7336
SK가스충전소,7272
유아원,6969
농협하나로클럽,6564
구내매점(국가기관등),6503
헬스클럽,6220
통신판매업1,6021
상 품 권,5791
스포츠의류,5731
가전제품,5727
E1가스충전소,5683
유흥주점,5675
화원,5628
동물병원,5059
티켓,4842
자동차부품,4541
가정용품수리,4495
GS가스충전소,4025
기타건축자재,4023
보습학원,3948
쌍용S-OIL가스충전소,3939
목재·석재·철물,3893
비영리/대상,3803
비영리/비대상,3765
완구점,3697
조세서비스,3545
업종미등록,3408
레져업소,3343
면 세 점,3323
볼 링 장,3214
예·체능계학원,3181
종합레져타운,3094
신 발,2984
단란주점,2874
당구장,2845
정수기,2795
기타의류,2675
자동차시트·타이어,2670
의료용품,2565
치과병원,2387
미곡상,2362
전기차충전소,2354
통신서비스/소득공제비대상,2246
특급호텔,2244
화물운송,2226
침구·수예점,2088
기념품점,2035
세차장,2029
조명기구,1990
기타건강식품,1989
LPG취급점,1958
골프연습장,1939
일반(통신판매),1928
수 영 장,1919
외국어학원,1879
종합용역,1871
피부미용실,1852
콘도,1835
초중고교육기관,1816
주방용식기,1766
가례서비스업,1763
기타전기제품,1763
주방용구,1744
미용재료,1731
골프용품 전문점,1729
항공사,1706
기타4,1644
학습지교육,1524
출판 및 인쇄물,1496
유류판매,1496
비씨카드 정산용가맹점,1484
기타유통업,1473
일반가구,1404
인테리어전문,1390
학원,1387
기타 교육기관,1354
건강진단,1346
비씨카드 정산용(할인),1341
보관및 창고업,1337
기타용역서비스,1278
2급 호텔,1262
기타 사무용품,1262
기타의료기관 및 기타의료기기,1129
현대정유가스충전소,1105
통신기기,1073
아동의류,1023
주류판매점,1001
보일러·펌프·샷시,960
사무·통신기기수리,873
문화취미기타,867
기능학원,849
가 방,801
카인테리어,799
이용원,756
컴퓨터,734
독서실,719
1급 호텔,711
칵테일바,699
페인트,645
기타대인서비스,642
기타가구,634
"비료,사료,종자",629
전자상거래상품권전문판매,589
건축용 요업제품,588
전문서적,584
홍삼제품,568
농축수산가공품,564
렌터카,542
소프트웨어,541
여객선,526
택시회사,514
이륜차판매,506
"카페트,커튼,천막,지물",491
수족관,478
한방병원,477
위성방송,464
안마/스포츠마사지,445
민예·공예품,430
캐주얼의류,424
가타자동차서비스,410
귀금속,394
옷감·직물,394
CATV,378
한약방,372
기타1,363
인삼제품,351
시 계,346
부동산중개·임대,321
관광여행,314
기타보험,305
기타수리서비스,304
화방·표구점,279
갈비전문점,273
사무용 OA기기,247
윤활유전문판매,243
농기계,241
기타농업관련,234
