서비스명,대분류,서비스번호,판매자,소분류
윅스WIX 빠르고 깔끔하게 만들어 드립니다.,기타,2190.0,유스트라다무스,웹빌더
컴퓨터 윈도우 오류 원격 해결 및 수리,기타,2192.0,Goaway007,하드웨어·임베디드
홈페이지 유지보수 해 드립니다.,홈페이지,2194.0,KDJ,웹 유지보수
PHP 웹사이트 수정해 드립니다.,홈페이지,2200.0,phpdev,웹 유지보수
올바르게 워드프레스 웹사이트를 옮겨 드립니다.,홈페이지,2201.0,angelBoy,웹빌더
PHP/HTML 기반 사이트 유지보수 작업해 드립니다.,홈페이지,2203.0,WizDoM,웹 유지보수
"픽셀,퍼포먼스 마케터가 진단하고 풀스택 개발자가 설치해 드립니다.",프로그래밍,2204.0,호랑이마케팅,하드웨어·임베디드
"카페24쇼핑몰 수정, 추가, 소셜로그인, 기능추가",커머스,2205.0,var,웹 제작
빠르고 완성도 있는 웹퍼블리싱 만들어 드립니다.,홈페이지,2207.0,SSOOYA,웹 유지보수
홈페이지끝판왕 카페24 cafe24 디자인수정 기능개선,홈페이지,2208.0,카페24전문,웹 유지보수
"카페24,고도몰,메이크샵,모든쇼핑몰 수정,오류,문제해결",커머스,4649.0,오즈의해결사,웹 제작
아마존 웹 서비스 AWS 에 관련된 모든것을 도와 드립니다.,홈페이지,2210.0,YoungWooJung,서버.클라우드
"엑셀, 워드, 문서작업 도와 드립니다.",데이터,2212.0,에스디엔,액셀.스프레드시트
카페24 쇼핑몰 웹 퍼블리싱 및 JS 프론트앤드 개발,커머스,2213.0,워크맨24,웹 유지보수
"생산,재고,급여,데이터 엑셀화로 업무의 효율을 높여 드립니다.",데이터,2214.0,이지엑셀,크롤링.스크래핑
웹상의 정보를 수집해 드리거나 수집 프로그램 제작 드립니다.,프로그램,2218.0,내로야,웹 제작
"VBA 프로그램 , 엑셀 매크로 제작해 드립니다.",데이터,2219.0,스마트dda,프로그램 유지보수
"카페24,그누보드,영카트 홈페이지 제작 수정 유지보수해 드립니다.",홈페이지,2221.0,꼼꼼한훈이,웹 유지보수
퀄리티 높은 modoo 모두 홈페이지 제작해 드립니다.,홈페이지,2225.0,Udesigns,웹 제작
HTML CSS 저렴한 가격으로 홈페이지 수정해 드립니다.,홈페이지,2230.0,부람쥐얼쑤,웹 유지보수
카페24 쇼핑몰 수정 및 작업 서비스,커머스,2231.0,김단웹,웹 제작
어떤 웹페이지든 고쳐 드립니다.,홈페이지,2232.0,부리부리,웹 제작
17년경력 VBA 이용하여 매크로 레포트 등 만들어 드립니다.,기타,2233.0,EBConsulting,프로그램 자동화
구글애널리틱스 ga 이론부터 8가지 분석법까지 드립니다.,프로그램,2234.0,KLab,액셀.스프레드시트
깔끔하고 맛있는 코딩 홈페이지 웹퍼블리싱해 드립니다.,홈페이지,2236.0,웹코기,웹 유지보수
"JSP,PHP,HTML 간단한 소스코드 수정, 제작해 드립니다.",홈페이지,2240.0,비트박,웹 유지보수
트레이딩뷰 파인스크립트 보조지표 제작해 드립니다.,프로그래밍,2242.0,Ilgaemi,프로그램 자동화
반응형퍼블리싱 전문가 최적의 작업물을 약속드립니다.,홈페이지,2243.0,퍼블제이,웹 유지보수
바른 워드프레스 설치와 함께 입문을 도와 드립니다.,홈페이지,2244.0,angelBoy,웹빌더
페이스북 픽셀 설치해 드립니다.,기타,2246.0,최초개척자,하드웨어·임베디드
홈페이지 및 쇼핑몰 수정해 드립니다.,커머스,2248.0,mutangood,웹 제작
웹모바일 웹반응형 퍼블리싱해 드립니다.,홈페이지,3920.0,호랭2,웹 유지보수
웹크롤링 자동화 크롤러 프로그램 시원하게 만들어 드립니다.,데이터,2256.0,최현오,웹빌더
포털 사이트 키워드 검색량 일별로 추출 및 분석해 드립니다.,프로그램,5109.0,아하데이터랩,데이터 전처리.분석.시각화
카페24 쇼핑몰 수정해 드립니다.,커머스,2258.0,Bubblegum,웹 제작
눈에 보이는 웹 데이터 크롤러 제작해 드립니다.,데이터,2259.0,끈질긴블랙,웹 제작
웹 페이지의 모든 업무를 매크로로 제작해 드립니다,홈페이지,2307.0,PROMYS,웹 제작
"하이브리드 앱, 앱 패키징 작업해 드립니다.",모바일,2262.0,Loonix,앱
뜯어보면서 공부할 수 있는 게임 기능을 만들어드립니다.,게임,2263.0,윤스톤,게임·AR·VR
인터넷 데이터를 수집해드립니다. 웹데이터 크롤링,데이터,2265.0,워크프리,크롤링.스크래핑
프로그램 빠르게 개발해 드립니다.,프로그램,2268.0,민그리머,프로그램 유지보수
안드로이드 iOS 앱 가성비 있게 만들어 드립니다.,모바일,4255.0,에단Dev,앱
윈도우 프로그램 제작해 드립니다.,프로그램,2270.0,드루와,프로그램 유지보수
홈페이지 그누보드 영카트 수정해 드립니다.,홈페이지,2272.0,느릿느릿해결사7167,웹 유지보수
"논문통계, 통계분석, 학술통계 전문가입니다",데이터,2273.0,통계마스터,데이터 전처리.분석.시각화
"워드프레스 쇼핑몰, 홈페이지 유지보수해 드립니다.",커머스,2274.0,디옹,웹 제작
HTML5 CSS JS 웹 퍼블리싱 해 드립니다.,홈페이지,2275.0,jinfunction,웹 유지보수
서버 이전작업 도와 드립니다.,데이터,2276.0,아바에스,서버.클라우드
"리눅스 기술지원, 장애처리, 서버이전, 서버구축",데이터,2277.0,시스픽스,서버.클라우드
"반응형의 최적화된 이북제작, 웹북제작, 이북샘플확인",홈페이지,2278.0,피오디존,웹 제작
"구글 스프레드시트 엑셀 매크로 , 프로그램 개발 제공해 드립니다.",데이터,2280.0,ExcelGo,액셀.스프레드시트
모두홈페이지 제작 해 드립니다.,홈페이지,2282.0,wetogether,웹 제작
"그누보드, php, api, 유지보수 도움을 드립니다.",기타,2283.0,카인1,웹 유지보수
아두이노 라즈베리파이 시제품 제작해 드립니다.,프로그래밍,2284.0,돌마,하드웨어·임베디드
자바계열 프로그램 버그 수정해 드립니다.,프로그램,2290.0,Botbinoo,프로그램 유지보수
