,Title,Content
354,"DGB대구은행 BC카드, CU편의점 택배 무제한 500원 할인","  DGB대구은행은 택배 이용이 증가하는 연말 시즌을 맞아 DGB대구은행 BC카드 고객이 CU편의점 택배비 할인 이벤트를 진행한다. 10일 DGB대구은행 관계자에 따르면 택배 운임 500원을 즉시 할인해 주는 것이 이벤트의 골자로, BGF네트웍스와 제휴해 DGB대구은행BC카드(개인) 단독으로 진행하는 행사다....  "
355,"신용보증기금, 대구은행과 지역 미래 유망 뉴딜산업을 위한 업무협약 체...",  윤대희 신용보증기금 이사장(왼쪽)과 임성훈 대구은행 은행장(오른쪽)이 2일 대구은행 본점에서 개최된 'ESG 경영 실천을 위한 미래 유망 뉴딜산업 금융지원 업무협약식'에 참석해 기념촬영을 하고 있다. 신용보증기금(이사장 윤대희)은 대구은행(은행장 임성훈)과 2일 대구은행 본점에서 'ESG 경영 실천을 위한...  
356,"대구은행, 캄보디아 금융사고 '사기'가 '뇌물사건'된 배경은?","  대구은행은 신남방 전략 차원으로 캄보디아 진출을 추진했는데, 현지 법인 본점 건물을 매입하는 과정에서 불거진 사기사건이 뇌물사건으로 비화됐고, 김태오 회장이 피의자 신분으로 재판에 넘겨졌다. 대구은행은 캄보디아 현지 법인 사옥 건물을 매입하기 위해 브로커에게 계약금 132억원(1205만 달러)을...  "
357,"DGB대구은행, 국가고객만족도 지방은행 1위",  DGB대구은행은 한국생산성본부가 주관하는 21년 국가고객만족도(NCSI) 조사에서 지방은행 1위 기업으로 선정됐다. 국가고객만족도(NCSI)는 한국생산성본부와 미국 미시간 대학이 공동 개발한 고객만족 측정 지표로 미국고객만족도(ACSI)와 동일한 측정 방법을 이용해 대표성과 신뢰성을 인정받고 있다.이번...  
358,대구은행 도덕성에 치명타 불가피...김태오 DGB금융지주 회장 등 고위 임...,  대구은행의 도덕적 해이가 지역사회에 큰 충격을 던져주고 있다. 지난 6일 대구지방검찰청이 김태오 DGB금융지주 회장과 전 DGB대구은행 글로벌본부장 등 최고위직 임원 4명을 국제뇌물방지법 위반 등의 혐의로 불구속 기소한 사실이 알려지면서 시민들의 질타가 빗발치고 있는 가운데 시민단체들도 일제히...  
359,[더밸류 금융] 하나은행·우리은행·DGB대구은행·카카오페이...모바일뱅...,"  ◆DGB대구은행, 하이투자증권과 복합점포 'DIGNITY' 여의도센터 오픈 DGB금융그룹(회장 김태오)이 서울지역 세 번째 복합점포인 'DIGNITY 여의도센터'를 오픈했다. DGB대구은행 여의도지점과 하이투자증권 여의도WM센터가 결합된 'DIGNITY 여의도센터'는 하이투자증권빌딩 4층에 위치한다. 장활언(왼쪽부터) 대구은행...  "
360,"DGB대구은행, 국가고객만족도 지방은행 1위",  DGB대구은행은 한국생산성본부가 주관하는 21년 국가고객만족도(NCSI) 조사에서 지방은행 1위 기업으로 선정됐다. 국가고객만족도(NCSI)는 한국생산성본부와 미국 미시간 대학이 공동 개발한 고객만족 측정 지표로 미국고객만족도(ACSI)와 동일한 측정 방법을 이용해 대표성과 신뢰성을 인정받고 있다.이번...  
361,대구은행 도덕성에 치명타 불가피...김태오 DGB금융지주 회장 등 고위 임...,  대구은행의 도덕적 해이가 지역사회에 큰 충격을 던져주고 있다. 지난 6일 대구지방검찰청이 김태오 DGB금융지주 회장과 전 DGB대구은행 글로벌본부장 등 최고위직 임원 4명을 국제뇌물방지법 위반 등의 혐의로 불구속 기소한 사실이 알려지면서 시민들의 질타가 빗발치고 있는 가운데 시민단체들도 일제히...  
362,[더밸류 금융] 하나은행·우리은행·DGB대구은행·카카오페이...모바일뱅...,"  ◆DGB대구은행, 하이투자증권과 복합점포 'DIGNITY' 여의도센터 오픈 DGB금융그룹(회장 김태오)이 서울지역 세 번째 복합점포인 'DIGNITY 여의도센터'를 오픈했다. DGB대구은행 여의도지점과 하이투자증권 여의도WM센터가 결합된 'DIGNITY 여의도센터'는 하이투자증권빌딩 4층에 위치한다. 장활언(왼쪽부터) 대구은행...  "
363,"대구은행, 빛바랜 해외진출",  최근 대구은행이 캄보디아 상업은행(CB) 인가 과정에서 불법행위를 했다는 혐의를 받고 있다. 코로나19에도 글로벌 현지 사업 확장을 위한 노력이 빛을 바라게 됐다는 평가다. 10일 금융권에 따르면 지난 6일 대구지검 반부패수사부(김남훈 부장검사)는 캄보디아에서 대구은행의 상업은행 인가를 받기 위해...  
364,"DGB대구은행, 지역 의료진 연말 마스크 30만장 지원",  DGB대구은행이 연말을 맞이해 지난 23일 대구 관내에서 근무 중인 의료진들을 위한 ‘의료진 연말 마스크 지원’ 전달식을 가졌다.지원되는 마스크(KF94)는 총 30만장으로 대구시 관내 의료진 6000여명에 연말까지 순차적으로 전달될 예정이다.임성훈 대구은행장은 “장시간 코로나19와 싸우며 지치고 힘든...  
